id,hex,name
A1,#FAF5CD,奶油黄
A2,#FCFED6,象牙白
A3,#FCFF92,柠檬黄
A4,#F7EC5C,向日葵黄
A5,#FFE44B,金黄色
A6,#FDA951,橙黄色
A7,#FA8C4F,南瓜橙
A8,#F9E045,明黄色
A9,#F99C5F,杏橙色
A10,#F47E36,胡萝卜橙
A11,#FEDB99,浅杏色
A12,#FDA276,珊瑚橙
A13,#FEC667,蛋黄色
A14,#F85842,橘红色
A15,#FBF65E,亮黄色
A16,#FEFF97,淡柠檬黄
A17,#FDE173,香蕉黄
A18,#FCBF80,蜜桃色
A19,#FD7E77,西瓜红
A20,#F9D66E,芒果黄
A21,#FAE393,淡金黄
A22,#EDF878,青柠黄
A23,#E1C9BD,燕麦色
A24,#F3F6A9,嫩黄色
A25,#FFD785,蜂蜜黄
A26,#FEC832,橙金色
B1,#DFF139,荧光绿
B2,#64F343,草绿色
B3,#9FF685,薄荷绿
B4,#5FDF34,青草绿
B5,#39E158,翠绿色
B6,#64E0A4,碧玉绿
B7,#3FAE7C,孔雀绿
B8,#1D9E54,森林绿
B9,#2A5037,深松绿
B10,#9AD1BA,薄荷青
B11,#627032,橄榄绿
B12,#1A6E3D,墨绿色
B13,#C8E87D,青苹果绿
B14,#ACE84C,柠檬绿
B15,#305335,松针绿
B16,#C0ED9C,嫩芽绿
B17,#9EB33E,苔藓绿
B18,#E6ED4F,黄绿色
B19,#26B78E,翡翠绿
B20,#CAEDCF,淡薄荷绿
B21,#176268,深青色
B22,#0A4241,墨青色
B23,#343B1A,苔绿色
B24,#E8FAA6,春芽绿
B25,#4E846D,湖绿色
B26,#907C35,秋草黄
B27,#D0E0AF,豆绿色
B28,#9EE5BB,玉石绿
B29,#C6DF5F,青柠绿
B30,#E3FBB1,淡黄绿
B31,#B2E694,草原绿
B32,#92AD60,抹茶绿
C1,#FFFEE4,月光白
C2,#ABF8FE,冰蓝色
C3,#9EE0F8,天空蓝
C4,#44CDFB,湖蓝色
C5,#06ABE3,晴空蓝
C6,#54A7E9,矢车菊蓝
C7,#3977CC,钴蓝色
C8,#0F52BD,宝蓝色
C9,#3349C3,皇家蓝
C10,#3DBBE3,碧海蓝
C11,#2ADED3,青蓝色
C12,#1E334E,深海蓝
C13,#CDE7FE,婴儿蓝
C14,#D6FDFC,水晶蓝
C15,#21C5C4,蒂芙尼蓝
C16,#1858A2,海军蓝
C17,#02D1F3,电光蓝
C18,#213244,午夜蓝
C19,#188690,孔雀蓝
C20,#1A70A9,牛仔蓝
C21,#BEDDFC,粉蓝色
C22,#6BB1BB,灰蓝色
C23,#C8E2F9,淡天蓝
C24,#7EC5F9,清空蓝
C25,#A9E8E0,薄荷蓝
C26,#42ADD1,海洋蓝
C27,#D0DEEF,雾霾蓝
C28,#BDCEED,淡紫蓝
C29,#364A89,靛蓝色
D1,#ACB7EF,薰衣草紫
D2,#868DD3,紫罗兰
D3,#3653AF,皇室紫
D4,#162C7E,深紫蓝
D5,#B34EC6,兰花紫
D6,#B37BDC,丁香紫
D7,#8758A9,葡萄紫
D8,#E3D2FE,淡紫色
D9,#D6BAF5,紫藤色
D10,#301A49,深茄紫
D11,#BCBAE2,雾紫色
D12,#DC99CE,粉紫色
D13,#B5038F,洋红色
D14,#882893,深紫红
D15,#2F1E8E,宝石紫
D16,#E2E4F0,银紫色
D17,#C7D3F9,天青紫
D18,#9A64B8,鸢尾紫
D19,#D8C2D9,粉灰紫
D20,#9C34AD,魅惑紫
D21,#940595,紫红色
D22,#383995,藏青紫
D23,#FADBF8,樱花粉紫
D24,#768AE1,风信子紫
D25,#4950C2,蓝紫色
D26,#D6C6EB,淡芋紫
E1,#F6D4CB,裸粉色
